Date,HSN1FNSA,1031 exchange,1031,real estate test,new home construction,new housing development,home communities,appreciation rate,irs 1031,home contractors,manufactured homes
1/1/2004,1.307,0.517,0.544,1.619,2.202,1.762,2.075,0.737,1.159,2.002,2.095
2/1/2004,1.765,0.955,1.044,1.44,2.256,1.866,1.928,1.573,2.006,2.177,1.86
3/1/2004,2.506,1.398,1.412,1.178,2.529,1.508,1.905,2.227,1.945,2.226,2.193
4/1/2004,2.012,1.571,1.507,1.638,2.138,2.403,2.278,1.498,2.348,2.254,1.985
5/1/2004,2.224,1.566,1.512,1.974,2.02,2.369,2.134,1.995,1.522,1.821,1.851
6/1/2004,1.871,1.592,1.659,1.907,2.212,1.762,2.234,1.989,1.32,2.552,2.199
7/1/2004,1.554,1.869,1.906,2.369,2.437,2.267,2.425,1.16,1.806,1.933,2.434
8/1/2004,1.765,1.771,1.878,2.236,1.926,2.042,2.062,1.7,2.03,1.634,2.379
9/1/2004,1.483,1.353,1.422,1.277,1.724,1.088,1.719,1.138,1.206,1.457,1.731
10/1/2004,1.73,1.305,1.34,1.493,1.318,1.545,1.634,1.336,1.96,1.467,1.293
11/1/2004,1.131,1.131,1.173,1.045,1.271,1.369,1.01,1.604,1.582,1.208,0.997
12/1/2004,1.096,1.223,1.121,1.127,1.18,1.559,1.173,1.096,1.046,0.579,0.586
1/1/2005,1.413,1.751,1.808,2.003,2.325,1.883,2.081,1.377,2.394,2.194,1.825
2/1/2005,2.012,2.008,2.092,1.91,2.42,1.96,2.339,2.086,2.403,2.421,1.992
3/1/2005,2.647,2.492,2.473,2.43,2.46,2.543,2.671,2.748,2.546,2.041,2.037
4/1/2005,2.259,2.392,2.39,2.527,2.332,2.414,2.157,2.812,2.059,1.874,1.978
5/1/2005,2.4,2.424,2.462,2.273,2.262,2.076,2.049,2.543,2.274,2.379,1.898
6/1/2005,2.224,2.716,2.629,2.682,2.365,2.29,2.308,2.279,2.307,2.115,2.135
7/1/2005,2.294,2.706,2.695,2.8,2.42,2.781,2.184,2.549,2.628,2.349,2.342
8/1/2005,2.047,2.731,2.728,2.39,2.37,2.913,2.299,1.907,2.787,1.713,2.378
9/1/2005,1.66,1.986,1.999,2.118,1.442,1.377,1.421,1.668,1.802,1.135,1.876
10/1/2005,1.871,1.76,1.736,1.946,1.216,1.5,1.327,1.528,1.875,1.731,1.358
11/1/2005,1.201,1.402,1.406,1.179,0.913,0.681,0.702,1.126,1.586,0.983,0.798
12/1/2005,1.237,1.009,1.04,0.925,0.685,0.875,0.542,0.897,1.043,0.354,0.415
1/1/2006,1.307,1.677,1.624,1.875,1.666,1.638,1.714,1.536,1.814,1.485,1.703
2/1/2006,1.272,1.865,1.756,1.475,1.532,1.221,1.622,1.918,2.061,1.395,1.593
3/1/2006,1.977,2.032,1.978,1.329,1.55,1.749,1.563,1.766,1.999,1.536,1.67
4/1/2006,1.695,1.849,1.901,1.535,1.283,1.205,1.214,1.724,1.929,1.401,1.559
5/1/2006,1.765,1.683,1.652,1.44,1.093,1.1,1.066,1.748,1.674,1.046,1.342
6/1/2006,1.624,1.437,1.414,1.503,1.066,0.956,1.281,1.642,0.962,1.428,1.453
7/1/2006,1.096,1.353,1.296,1.379,1.16,1.418,1.468,1.284,0.728,1.188,1.762
8/1/2006,1.272,1.32,1.303,1.482,0.947,1.148,1.245,1.087,0.912,1.717,1.421
9/1/2006,0.99,0.908,0.897,1.123,0.67,0.467,0.791,0.822,0.867,0.781,1.043
10/1/2006,0.778,0.851,0.868,0.7,0.473,0.574,0.569,0.776,0.666,0.842,0.711
11/1/2006,0.672,0.564,0.58,0.376,0.265,0.058,0.328,0.647,0.542,0.33,0.346
12/1/2006,0.672,0.337,0.281,0.312,0.279,0.185,0.251,0.648,0.317,-0.068,0.123
1/1/2007,0.496,0.865,0.86,0.806,0.873,0.994,1.135,1.101,0.632,0.968,1.066
2/1/2007,0.567,0.916,0.891,0.798,0.83,1.048,0.847,1.109,0.733,0.757,0.954
3/1/2007,0.99,0.904,0.899,0.688,0.984,0.882,0.96,1.239,0.51,1.263,0.999
4/1/2007,1.096,1.039,1.112,0.956,0.6,0.612,0.651,1.263,0.735,1.064,0.827
5/1/2007,0.954,0.78,1.006,0.72,0.402,0.52,0.524,0.869,0.795,0.612,0.741
6/1/2007,0.743,0.709,0.772,1.031,0.59,0.723,0.855,1.301,0.012,0.875,0.799
7/1/2007,0.567,0.685,0.711,0.691,0.55,0.87,0.845,1.024,0.282,0.843,0.932
8/1/2007,0.285,0.45,0.486,0.264,0.225,0.565,0.52,0.59,0.484,0.438,0.616
9/1/2007,0.038,0.21,0.276,0.076,-0.027,0.242,0.233,0.309,0.251,0.393,0.362
10/1/2007,0.179,0.217,0.351,-0.148,-0.091,-0.193,-0.023,0.344,0.224,0.087,-0.005
11/1/2007,-0.244,-0.078,0.02,-0.435,-0.335,-0.057,-0.214,0.131,-0.196,-0.384,-0.297
12/1/2007,-0.279,-0.292,-0.206,-0.455,-0.409,-0.423,-0.385,0.114,-0.127,-0.425,-0.485
1/1/2008,-0.279,-0.097,0.004,-0.157,0.14,0.037,0.2,0.08,0.054,0.521,0.212
2/1/2008,-0.138,-0.107,-0.015,-0.332,0.016,0.183,0.198,0.028,-0.112,0.215,0.179
3/1/2008,-0.103,-0.076,0.07,-0.39,-0.063,0.211,0.096,0.255,-0.03,0.155,0.205
4/1/2008,-0.103,-0.114,0.001,-0.383,-0.167,0.051,0.08,0.093,-0.208,0.211,0.05
5/1/2008,-0.103,-0.259,-0.148,-0.241,-0.272,0.036,-0.108,0.218,-0.14,-0.081,-0.067
6/1/2008,-0.244,-0.255,-0.102,-0.144,-0.242,-0.217,-0.012,-0.143,-0.102,-0.032,-0.157
7/1/2008,-0.315,-0.369,-0.208,-0.475,-0.278,-0.021,-0.005,-0.078,-0.397,-0.022,-0.085
8/1/2008,-0.491,-0.415,-0.292,-0.468,-0.441,-0.344,-0.249,-0.239,-0.351,-0.241,-0.243
9/1/2008,-0.597,-0.462,-0.412,-0.601,-0.543,-0.517,-0.484,-0.265,-0.511,-0.232,-0.284
10/1/2008,-0.702,-0.427,-0.379,-0.733,-0.807,-0.64,-0.649,-0.458,-0.502,-0.812,-0.614
11/1/2008,-0.879,-0.342,-0.421,-0.899,-0.898,-0.932,-0.757,-0.533,-0.628,-0.869,-0.828
12/1/2008,-0.914,-0.626,-0.529,-0.914,-0.919,-0.947,-0.778,-0.492,-0.61,-1.012,-0.947
1/1/2009,-0.984,-0.661,-0.528,-0.696,-0.631,-0.791,-0.514,-0.491,-0.584,-0.669,-0.369
2/1/2009,-0.808,-0.73,-0.622,-0.686,-0.586,-0.76,-0.592,-0.561,-0.532,-0.59,-0.469
3/1/2009,-0.738,-0.62,-0.454,-0.626,-0.591,-0.672,-0.502,-0.491,-0.658,-0.616,-0.477
4/1/2009,-0.702,-0.684,-0.508,-0.651,-0.537,-0.656,-0.524,-0.37,-0.553,-0.747,-0.548
5/1/2009,-0.632,-0.692,-0.673,-0.667,-0.657,-0.785,-0.525,-0.373,-0.764,-0.64,-0.48
6/1/2009,-0.526,-0.699,-0.643,-0.674,-0.659,-0.651,-0.572,-0.428,-0.647,-0.327,-0.428
7/1/2009,-0.491,-0.718,-0.675,-0.594,-0.561,-0.658,-0.479,-0.449,-0.635,-0.382,-0.351
8/1/2009,-0.561,-0.753,-0.727,-0.585,-0.616,-0.695,-0.519,-0.497,-0.726,-0.586,-0.406
9/1/2009,-0.773,-0.769,-0.738,-0.57,-0.71,-0.908,-0.705,-0.556,-0.67,-0.732,-0.576
10/1/2009,-0.667,-0.804,-0.731,-0.688,-0.825,-0.982,-0.711,-0.588,-0.579,-0.695,-0.755
11/1/2009,-0.914,-0.791,-0.82,-0.738,-0.843,-0.956,-0.819,-0.63,-0.664,-0.953,-0.858
